seed,orders,quality,skip_budget,human_model,served,completed,makespan_actual_s,unfinished_dish,human_stall,human_stall_count,ai_stall,ai_stall_count,progress_stall_events,progress_stall_detail
10,OnionTomatoSalad|TomatoLettuceSoup|AppleOrangeJuice,good,0,greedy,0,0,100.0,3品未完(Juice/Salad/Soup),,0,handover_lettuce_tomato :: ターゲットの完成品が入った鍋が見つかりません,620,4,A0:cook:食材の取得|A1:serve_salad:指定テーブルにて食材をマージさせるために置く|A0:handover:ターゲットの完成品が入った鍋が見つかりません|A1:serve_from_counter:指定テーブルにて食材をマージさせるために置く
10,OnionTomatoSalad|TomatoLettuceSoup|AppleOrangeJuice,bad,2,greedy,3,1,23.5,,chop_onion :: FreshOnion の取得,66,cook_lettuce_tomato :: 必要な食材 (Chopped) を待機中,10,0,
10,OnionTomatoSalad|TomatoLettuceSoup|AppleOrangeJuice,random,4,greedy,0,0,100.0,3品未完(Juice/Salad/Soup),,0,handover_lettuce_tomato :: ターゲットの完成品が入った鍋が見つかりません,622,4,A0:cook:食材の取得|A1:serve_salad:指定テーブルにて食材をマージさせるために置く|A0:handover:ターゲットの完成品が入った鍋が見つかりません|A1:serve_from_counter:指定テーブルにて食材をマージさせるために置く
11,OnionTomatoSalad|TomatoLettuceSoup|BananaOrangeJuice,bad,0,greedy,3,1,29.2,,mix_orange_banana :: 混ぜ完了 (Done),3,cook_lettuce_tomato :: 必要な食材 (Chopped) を待機中,16,0,
11,OnionTomatoSalad|TomatoLettuceSoup|BananaOrangeJuice,random,2,greedy,3,1,34.6,,mix_orange_banana :: 混ぜ完了 (Done),3,cook_lettuce_tomato :: 必要な食材 (Chopped) を待機中,13,0,
12,TomatoLettuceSalad|OnionLettuceSoup|AppleBananaJuice,good,4,greedy,3,1,23.6,,mix_apple_banana :: 混ぜ完了 (Done),3,cook_lettuce_onion :: 必要な食材 (Chopped) を待機中,2,0,
12,TomatoLettuceSalad|OnionLettuceSoup|AppleBananaJuice,random,0,greedy,3,1,39.2,,mix_apple_banana :: 混ぜ完了 (Done),3,,0,0,
13,TomatoLettuceSalad|OnionLettuceSoup|AppleOrangeJuice,good,2,greedy,3,1,23.6,,mix_apple_orange :: 混ぜ完了 (Done),3,cook_lettuce_onion :: 必要な食材 (Chopped) を待機中,2,0,
13,TomatoLettuceSalad|OnionLettuceSoup|AppleOrangeJuice,bad,4,greedy,3,1,26.7,,mix_apple_orange :: 混ぜ完了 (Done),3,cook_lettuce_onion :: 必要な食材 (Chopped) を待機中,3,0,
14,TomatoLettuceSalad|OnionLettuceSoup|BananaOrangeJuice,good,0,greedy,3,1,23.6,,mix_orange_banana :: 混ぜ完了 (Done),3,cook_lettuce_onion :: 必要な食材 (Chopped) を待機中,2,0,
14,TomatoLettuceSalad|OnionLettuceSoup|BananaOrangeJuice,bad,2,greedy,3,1,28.8,,mix_orange_banana :: 混ぜ完了 (Done),3,cook_lettuce_onion :: 共有置き場ID未割当のため待機中,1,0,
14,TomatoLettuceSalad|OnionLettuceSoup|BananaOrangeJuice,random,4,greedy,3,1,23.6,,mix_orange_banana :: 混ぜ完了 (Done),3,cook_lettuce_onion :: 必要な食材 (Chopped) を待機中,2,0,
15,TomatoLettuceSalad|OnionTomatoSoup|AppleBananaJuice,bad,0,greedy,3,1,62.7,,mix_apple_banana :: 混ぜ完了 (Done),3,handover_onion_tomato :: ターゲットの完成品が入った鍋が見つかりません,64,2,A1:mix:不要アイテム放棄: 不要なもの(ChoppedTomato)を持っています|A0:cook:食材の取得
15,TomatoLettuceSalad|OnionTomatoSoup|AppleBananaJuice,random,2,greedy,3,1,28.5,,mix_apple_banana :: 混ぜ完了 (Done),3,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,18,0,
16,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,good,4,greedy,3,1,27.0,,mix_apple_orange :: 混ぜ完了 (Done),3,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,16,0,
16,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,random,0,greedy,3,1,27.0,,mix_apple_orange :: 混ぜ完了 (Done),3,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,16,0,
17,TomatoLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,good,2,greedy,3,1,26.7,,mix_orange_banana :: 混ぜ完了 (Done),3,handover_onion_tomato :: ターゲットの完成品が入った鍋が見つかりません,2,0,
17,TomatoLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,bad,4,greedy,3,1,29.9,,mix_orange_banana :: 混ぜ完了 (Done),3,,0,0,
0,OnionLettuceSalad|OnionTomatoSoup|AppleBananaJuice,bad,0,greedy,3,1,26.4,,mix_apple_banana :: 混ぜ完了 (Done),3,,0,0,
0,OnionLettuceSalad|OnionTomatoSoup|AppleBananaJuice,random,2,greedy,3,1,49.6,,chop_onion :: FreshOnion の取得,253,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,12,2,A0:cook:指定テーブルにて食材をマージさせるために置く|A1:serve_salad:食材の取得
1,OnionLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,good,4,greedy,3,1,49.6,,chop_onion :: FreshOnion の取得,253,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,12,2,A0:cook:指定テーブルにて食材をマージさせるために置く|A1:serve_salad:食材の取得
1,OnionLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,random,0,greedy,3,1,49.6,,chop_onion :: FreshOnion の取得,253,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,12,2,A0:cook:指定テーブルにて食材をマージさせるために置く|A1:serve_salad:食材の取得
2,OnionLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,good,2,greedy,3,1,49.6,,chop_onion :: FreshOnion の取得,253,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,12,2,A0:cook:指定テーブルにて食材をマージさせるために置く|A1:serve_salad:食材の取得
2,OnionLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,bad,4,greedy,3,1,61.7,,chop_onion :: FreshOnion の取得,374,handover_onion_tomato :: ターゲットの完成品が入った鍋が見つかりません,11,2,A0:cook:指定テーブルにて食材をマージさせるために置く|A1:mix:必要な食材 (Chopped) を待機中
3,OnionLettuceSalad|TomatoLettuceSoup|AppleBananaJuice,good,0,greedy,3,1,21.0,,mix_apple_banana :: 混ぜ完了 (Done),3,cook_lettuce_tomato :: 必要な食材 (Chopped) を待機中,13,0,
3,OnionLettuceSalad|TomatoLettuceSoup|AppleBananaJuice,bad,2,greedy,3,1,24.5,,mix_apple_banana :: 混ぜ完了 (Done),3,,0,0,
3,OnionLettuceSalad|TomatoLettuceSoup|AppleBananaJuice,random,4,greedy,3,1,23.4,,mix_apple_banana :: 混ぜ完了 (Done),3,,0,0,
4,OnionLettuceSalad|TomatoLettuceSoup|AppleOrangeJuice,bad,0,greedy,3,1,24.5,,mix_apple_orange :: 混ぜ完了 (Done),3,,0,0,
4,OnionLettuceSalad|TomatoLettuceSoup|AppleOrangeJuice,random,2,greedy,3,1,23.4,,mix_apple_orange :: 混ぜ完了 (Done),3,,0,0,
5,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,good,4,greedy,3,1,24.5,,mix_orange_banana :: 混ぜ完了 (Done),3,,0,0,
5,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,random,0,greedy,3,1,21.0,,mix_orange_banana :: 混ぜ完了 (Done),3,cook_lettuce_tomato :: 必要な食材 (Chopped) を待機中,13,0,
6,OnionTomatoSalad|OnionLettuceSoup|AppleBananaJuice,good,2,greedy,3,1,23.4,,mix_apple_banana :: 混ぜ完了 (Done),3,cook_lettuce_onion :: 必要な食材 (Chopped) を待機中,2,0,
6,OnionTomatoSalad|OnionLettuceSoup|AppleBananaJuice,bad,4,greedy,3,1,23.4,,mix_apple_banana :: 混ぜ完了 (Done),3,cook_lettuce_onion :: 必要な食材 (Chopped) を待機中,2,0,
7,OnionTomatoSalad|OnionLettuceSoup|AppleOrangeJuice,good,0,greedy,3,1,23.4,,mix_apple_orange :: 混ぜ完了 (Done),3,cook_lettuce_onion :: 必要な食材 (Chopped) を待機中,2,0,
7,OnionTomatoSalad|OnionLettuceSoup|AppleOrangeJuice,bad,2,greedy,3,1,28.8,,mix_apple_orange :: 混ぜ完了 (Done),3,,0,0,
7,OnionTomatoSalad|OnionLettuceSoup|AppleOrangeJuice,random,4,greedy,3,1,23.4,,mix_apple_orange :: 混ぜ完了 (Done),3,cook_lettuce_onion :: 必要な食材 (Chopped) を待機中,2,0,
8,OnionTomatoSalad|OnionLettuceSoup|BananaOrangeJuice,bad,0,greedy,3,1,28.8,,mix_orange_banana :: 混ぜ完了 (Done),3,,0,0,
8,OnionTomatoSalad|OnionLettuceSoup|BananaOrangeJuice,random,2,greedy,3,1,23.4,,mix_orange_banana :: 混ぜ完了 (Done),3,cook_lettuce_onion :: 必要な食材 (Chopped) を待機中,2,0,
9,OnionTomatoSalad|TomatoLettuceSoup|AppleBananaJuice,good,4,greedy,0,0,100.0,3品未完(Juice/Salad/Soup),,0,handover_lettuce_tomato :: ターゲットの完成品が入った鍋が見つかりません,622,4,A0:cook:食材の取得|A1:serve_salad:指定テーブルにて食材をマージさせるために置く|A0:handover:ターゲットの完成品が入った鍋が見つかりません|A1:serve_from_counter:指定テーブルにて食材をマージさせるために置く
9,OnionTomatoSalad|TomatoLettuceSoup|AppleBananaJuice,random,0,greedy,0,0,100.0,3品未完(Juice/Salad/Soup),,0,handover_lettuce_tomato :: ターゲットの完成品が入った鍋が見つかりません,622,4,A0:cook:食材の取得|A1:serve_salad:指定テーブルにて食材をマージさせるために置く|A0:handover:ターゲットの完成品が入った鍋が見つかりません|A1:serve_from_counter:指定テーブルにて食材をマージさせるために置く
10,OnionTomatoSalad|TomatoLettuceSoup|AppleOrangeJuice,good,2,greedy,0,0,100.0,3品未完(Juice/Salad/Soup),,0,handover_lettuce_tomato :: ターゲットの完成品が入った鍋が見つかりません,622,4,A0:cook:食材の取得|A1:serve_salad:指定テーブルにて食材をマージさせるために置く|A0:handover:ターゲットの完成品が入った鍋が見つかりません|A1:serve_from_counter:指定テーブルにて食材をマージさせるために置く
10,OnionTomatoSalad|TomatoLettuceSoup|AppleOrangeJuice,bad,4,greedy,0,0,100.0,3品未完(Juice/Salad/Soup),,0,handover_lettuce_tomato :: ターゲットの完成品が入った鍋が見つかりません,620,4,A0:cook:食材の取得|A1:serve_salad:指定テーブルにて食材をマージさせるために置く|A0:handover:ターゲットの完成品が入った鍋が見つかりません|A1:serve_from_counter:指定テーブルにて食材をマージさせるために置く
11,OnionTomatoSalad|TomatoLettuceSoup|BananaOrangeJuice,good,0,greedy,0,0,100.0,3品未完(Juice/Salad/Soup),,0,handover_lettuce_tomato :: ターゲットの完成品が入った鍋が見つかりません,618,4,A0:cook:食材の取得|A1:serve_salad:指定テーブルにて食材をマージさせるために置く|A0:handover:ターゲットの完成品が入った鍋が見つかりません|A1:serve_from_counter:指定テーブルにて食材をマージさせるために置く
11,OnionTomatoSalad|TomatoLettuceSoup|BananaOrangeJuice,bad,2,greedy,3,1,23.7,,chop_onion :: FreshOnion の取得,66,cook_lettuce_tomato :: 必要な食材 (Chopped) を待機中,12,0,
11,OnionTomatoSalad|TomatoLettuceSoup|BananaOrangeJuice,random,4,greedy,0,0,100.0,3品未完(Juice/Salad/Soup),,0,handover_lettuce_tomato :: ターゲットの完成品が入った鍋が見つかりません,620,4,A0:cook:食材の取得|A1:serve_salad:指定テーブルにて食材をマージさせるために置く|A0:handover:ターゲットの完成品が入った鍋が見つかりません|A1:serve_from_counter:指定テーブルにて食材をマージさせるために置く
12,TomatoLettuceSalad|OnionLettuceSoup|AppleBananaJuice,bad,0,greedy,3,1,24.5,,mix_apple_banana :: 混ぜ完了 (Done),3,cook_lettuce_onion :: 必要な食材 (Chopped) を待機中,3,0,
12,TomatoLettuceSalad|OnionLettuceSoup|AppleBananaJuice,random,2,greedy,3,1,39.2,,mix_apple_banana :: 混ぜ完了 (Done),3,,0,0,
13,TomatoLettuceSalad|OnionLettuceSoup|AppleOrangeJuice,good,4,greedy,3,1,23.6,,mix_apple_orange :: 混ぜ完了 (Done),3,cook_lettuce_onion :: 必要な食材 (Chopped) を待機中,2,0,
13,TomatoLettuceSalad|OnionLettuceSoup|AppleOrangeJuice,random,0,greedy,3,1,23.1,,mix_apple_orange :: 混ぜ完了 (Done),3,,0,0,
14,TomatoLettuceSalad|OnionLettuceSoup|BananaOrangeJuice,good,2,greedy,3,1,23.6,,mix_orange_banana :: 混ぜ完了 (Done),3,cook_lettuce_onion :: 必要な食材 (Chopped) を待機中,2,0,
14,TomatoLettuceSalad|OnionLettuceSoup|BananaOrangeJuice,bad,4,greedy,3,1,27.2,,mix_orange_banana :: 混ぜ完了 (Done),3,,0,0,
15,TomatoLettuceSalad|OnionTomatoSoup|AppleBananaJuice,good,0,greedy,3,1,27.0,,mix_apple_banana :: 混ぜ完了 (Done),3,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,16,0,
15,TomatoLettuceSalad|OnionTomatoSoup|AppleBananaJuice,bad,2,greedy,3,1,27.0,,mix_apple_banana :: 混ぜ完了 (Done),3,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,16,0,
15,TomatoLettuceSalad|OnionTomatoSoup|AppleBananaJuice,random,4,greedy,3,1,27.0,,mix_apple_banana :: 混ぜ完了 (Done),3,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,16,0,
16,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,bad,0,greedy,3,1,62.7,,mix_apple_orange :: 混ぜ完了 (Done),3,handover_onion_tomato :: ターゲットの完成品が入った鍋が見つかりません,66,2,A1:mix:不要アイテム放棄: 不要なもの(ChoppedTomato)を持っています|A0:cook:食材の取得
16,TomatoLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,random,2,greedy,3,1,27.0,,mix_apple_orange :: 混ぜ完了 (Done),3,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,16,0,
17,TomatoLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,good,4,greedy,3,1,26.7,,mix_orange_banana :: 混ぜ完了 (Done),3,handover_onion_tomato :: ターゲットの完成品が入った鍋が見つかりません,2,0,
17,TomatoLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,random,0,greedy,3,1,38.8,,mix_orange_banana :: 混ぜ完了 (Done),3,,0,0,
