seed,orders,quality,skip_budget,human_model,served,completed,makespan_actual_s,unfinished_dish,human_stall,human_stall_count,ai_stall,ai_stall_count,progress_stall_events,progress_stall_detail
0,OnionLettuceSalad|OnionTomatoSoup|AppleBananaJuice,bad,0,follow_plan,3,1,23.0,,,0,cook_onion_tomato :: 必要な食材 (Chopped) を待機中,3,0,
0,OnionLettuceSalad|OnionTomatoSoup|AppleBananaJuice,random,2,follow_plan,3,1,32.9,,,0,handover_onion_tomato :: ターゲットの完成品が入った鍋が見つかりません,99,0,
1,OnionLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,good,4,follow_plan,3,1,47.4,,,0,handover_onion_tomato :: ターゲットの完成品が入った鍋が見つかりません,244,1,A0:handover:ターゲットの完成品が入った鍋が見つかりません
1,OnionLettuceSalad|OnionTomatoSoup|AppleOrangeJuice,random,0,follow_plan,3,1,61.2,,,0,handover_onion_tomato :: ターゲットの完成品が入った鍋が見つかりません,244,2,A0:handover:ターゲットの完成品が入った鍋が見つかりません|A1:chop:FreshOrange が見つかりません
2,OnionLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,good,2,follow_plan,3,1,32.9,,,0,handover_onion_tomato :: ターゲットの完成品が入った鍋が見つかりません,99,0,
2,OnionLettuceSalad|OnionTomatoSoup|BananaOrangeJuice,bad,4,follow_plan,3,1,32.9,,,0,handover_onion_tomato :: ターゲットの完成品が入った鍋が見つかりません,99,0,
3,OnionLettuceSalad|TomatoLettuceSoup|AppleBananaJuice,good,0,follow_plan,3,1,22.5,,,0,cook_lettuce_tomato :: 必要な食材 (Chopped) を待機中,3,0,
3,OnionLettuceSalad|TomatoLettuceSoup|AppleBananaJuice,bad,2,follow_plan,3,1,22.5,,,0,cook_lettuce_tomato :: 調理完了 (Done),1,0,
3,OnionLettuceSalad|TomatoLettuceSoup|AppleBananaJuice,random,4,follow_plan,3,1,32.2,,,0,handover_lettuce_tomato :: ターゲットの完成品が入った鍋が見つかりません,92,0,
4,OnionLettuceSalad|TomatoLettuceSoup|AppleOrangeJuice,bad,0,follow_plan,3,1,26.8,,,0,carry_orange :: orange を運び終えた (完了),1,0,
4,OnionLettuceSalad|TomatoLettuceSoup|AppleOrangeJuice,random,2,follow_plan,3,1,61.1,,,0,handover_lettuce_tomato :: ターゲットの完成品が入った鍋が見つかりません,244,2,A0:handover:ターゲットの完成品が入った鍋が見つかりません|A1:chop:FreshOrange が見つかりません
5,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,good,4,follow_plan,3,1,32.2,,,0,handover_lettuce_tomato :: ターゲットの完成品が入った鍋が見つかりません,92,0,
5,OnionLettuceSalad|TomatoLettuceSoup|BananaOrangeJuice,random,0,follow_plan,3,1,32.0,,,0,handover_lettuce_tomato :: ターゲットの完成品が入った鍋が見つかりません,82,0,
